sw_version,split,split_value,week,year,events_count
11.1,manageable,Manageable,13,2019,17
11.1,manageable,Manageable,14,2019,184
11.1,manageable,Manageable,15,2019,267
11.1,manageable,Manageable,16,2019,240
11.1,manageable,Manageable,17,2019,257
11.1,manageable,Manageable,18,2019,272
11.1,manageable,Manageable,19,2019,244
11.1,manageable,Manageable,20,2019,254
11.1,manageable,Manageable,21,2019,236
11.1,manageable,Manageable,22,2019,271
11.1,manageable,Manageable,23,2019,281
11.1,manageable,Manageable,24,2019,268
11.1,manageable,Manageable,25,2019,300
11.1,manageable,Manageable,26,2019,288
11.1,manageable,Manageable,27,2019,223
11.1,manageable,Manageable,28,2019,284
11.1,manageable,Manageable,29,2019,205
11.1,manageable,Manageable,30,2019,41
11.1,manageable,Manageable,31,2019,9
11.1,manageable,Manageable,32,2019,7
11.2,manageable,Manageable,28,2019,30
11.2,manageable,Manageable,29,2019,57
11.2,manageable,Manageable,30,2019,272
11.2,manageable,Manageable,31,2019,243
11.2,manageable,Manageable,32,2019,162
11.1,manageable,Not Manageable,13,2019,9
11.1,manageable,Not Manageable,14,2019,57
11.1,manageable,Not Manageable,15,2019,80
11.1,manageable,Not Manageable,16,2019,99
11.1,manageable,Not Manageable,17,2019,120
11.1,manageable,Not Manageable,18,2019,113
11.1,manageable,Not Manageable,19,2019,122
11.1,manageable,Not Manageable,20,2019,136
11.1,manageable,Not Manageable,21,2019,121
11.1,manageable,Not Manageable,22,2019,177
11.1,manageable,Not Manageable,23,2019,205
11.1,manageable,Not Manageable,24,2019,176
11.1,manageable,Not Manageable,25,2019,434
11.1,manageable,Not Manageable,26,2019,251
11.1,manageable,Not Manageable,27,2019,229
11.1,manageable,Not Manageable,28,2019,208
11.1,manageable,Not Manageable,29,2019,195
11.1,manageable,Not Manageable,30,2019,19
11.1,manageable,Not Manageable,31,2019,4
11.2,manageable,Not Manageable,28,2019,27
11.2,manageable,Not Manageable,29,2019,30
11.2,manageable,Not Manageable,30,2019,199
11.2,manageable,Not Manageable,31,2019,199
11.2,manageable,Not Manageable,32,2019,125
11.1,impactful,Not Impactful,13,2019,17
11.1,impactful,Not Impactful,14,2019,187
11.1,impactful,Not Impactful,15,2019,278
11.1,impactful,Not Impactful,16,2019,263
11.1,impactful,Not Impactful,17,2019,288
11.1,impactful,Not Impactful,18,2019,297
11.1,impactful,Not Impactful,19,2019,275
11.1,impactful,Not Impactful,20,2019,297
11.1,impactful,Not Impactful,21,2019,295
11.1,impactful,Not Impactful,22,2019,347
11.1,impactful,Not Impactful,23,2019,407
11.1,impactful,Not Impactful,24,2019,354
11.1,impactful,Not Impactful,25,2019,398
11.1,impactful,Not Impactful,26,2019,435
11.1,impactful,Not Impactful,27,2019,360
11.1,impactful,Not Impactful,28,2019,379
11.1,impactful,Not Impactful,29,2019,295
11.1,impactful,Not Impactful,30,2019,47
11.1,impactful,Not Impactful,31,2019,7
